,taxonomy_id,Perct,Reads,Specific_reads,Level,Taxa_names,species,Kingdom,Gram+/-,zscore,菌属中文名,菌种中文名,名词解释
115,3028082,1.33482121404659E-05,10,10,S,Streptococcus sp. 29896,Streptococcus sp. 29896,Bacteria,NA,,NA,NA,NA
116,3038077,4.53839212775841E-05,34,34,S,Streptococcus sp. D7B5,Streptococcus sp. D7B5,Bacteria,NA,,NA,NA,NA
117,3077584,3.60401727792579E-05,27,27,S,Streptococcus sp. DTU_2020_1001019_1_SI_AUS_MUR_006,Streptococcus sp. DTU_2020_1001019_1_SI_AUS_MUR_006,Bacteria,NA,,NA,NA,NA
118,10617,0.111111111111111,1,1,S1,Human papillomavirus 4,Gammapapillomavirus 1,Viruses,vir,,NA,人乳头瘤病毒,是皮肤型的HPV，人群感染率非常普遍，如常见的寻常疣、趾疣、扁平疣等，无法得到具体的感染率，比较引起注意到是高危型的HPV感染和外生殖器的低危型HPV感染造成的生殖器疣和宫颈癌，据统计在全球的性病中，HPV感染引起的生殖器疣占15-20%。
119,10760,0.111111111111111,1,1,S1,Escherichia phage T7,Teseptimavirus T7,Viruses,NA,,NA,NA,NA
120,10863,0.222222222222222,2,2,S1,Enterobacteria phage f1,Inovirus M13,Viruses,vir,,NA,噬菌体,0
121,186772,0.111111111111111,1,1,S,Saccharomyces 20S RNA narnavirus,Saccharomyces 20S RNA narnavirus,Viruses,vir,,NA,0,0
122,333926,0,1,0,S,Gammapapillomavirus 1,Gammapapillomavirus 1,Viruses,NA,,NA,NA,NA
123,1500830,0.111111111111111,1,1,S1,Propionibacterium phage PHL199M00,Pahexavirus PHL199M00,Viruses,vir,,NA,噬菌体,0
124,1675609,0.111111111111111,1,1,S1,Klebsiella phage Sushi,Webervirus sushi,Viruses,vir,,NA,噬菌体,0
125,1833824,0.111111111111111,1,1,S1,Maize yellow dwarf virus-RMV2,Maize yellow mosaic virus,Viruses,vir,,NA,0,0
126,1856642,0,1,0,S,Maize yellow mosaic virus,Maize yellow mosaic virus,Viruses,NA,,NA,NA,NA
127,1977402,0,3,0,S,Inovirus M13,Inovirus M13,Viruses,NA,,NA,NA,NA
128,1981043,0,1,0,S,Webervirus sushi,Webervirus sushi,Viruses,NA,,NA,NA,NA
129,1982300,0,1,0,S,Pahexavirus PHL199M00,Pahexavirus PHL199M00,Viruses,NA,,NA,NA,NA
130,1985738,0,1,0,S,Teseptimavirus T7,Teseptimavirus T7,Viruses,NA,,NA,NA,NA
131,2847073,0.111111111111111,1,1,S1,Escherichia phage fd,Inovirus M13,Viruses,NA,,NA,NA,NA
